name,position,age,nation,club,value,confederation,league
Liam Gillion,Left Winger,22,New Zealand,Auckland FC,€350k,CONMEBOL,
Matthew Sheridan,Central Midfield,21,New Zealand,Wellington Phoenix,€350k,CONMEBOL,
Jesse Randall,Right Winger,22,New Zealand,Auckland FC,€350k,CONMEBOL,
Benjamin Mata,Centre-Back,26,Cookinseln,Wellington Olympic AFC,€200k,CONMEBOL,
Jaushua Sotirio,Centre-Forward,29,Neukaledonien,Without Club,€200k,CONMEBOL,
Stipe Ukich,Centre-Forward,18,New Zealand,NK Istra 1961 U19,€200k,CONMEBOL,
Kelvin Kalua,Right-Back,26,New Zealand,Eastern Suburbs AFC,€175k,CONMEBOL,
Elliot Collier,Centre-Forward,30,New Zealand,Indy Eleven,€175k,CONMEBOL,
Angus Kilkolly,Centre-Forward,29,New Zealand,Auckland City FC,€175k,CONMEBOL,
Joel Stevens,Left Winger,30,New Zealand,Christchurch United,€175k,CONMEBOL,
Justin Gulley,Centre-Back,32,New Zealand,Wellington Olympic AFC,€175k,CONMEBOL,
Callum Simmonds,Defensive Midfield,29,New Zealand,Without Club,€150k,CONMEBOL,
Setareki Hughes,Attacking Midfield,29,Fiji,Rewa FA,€150k,CONMEBOL,
Ratu Waranaivalu,Attacking Midfield,29,Fiji,Rewa FA,€150k,CONMEBOL,
Patrick Joseph,Defensive Midfield,27,Fiji,Rewa FA,€150k,CONMEBOL,
Christopher Wasasala,Centre-Forward,30,Fiji,Labasa FC,€150k,CONMEBOL,
Oliver Middleton,Central Midfield,19,New Zealand,Auckland FC,€150k,CONMEBOL,
Jay Herdman,Attacking Midfield,20,New Zealand,Cavalry FC,€150k,CONMEBOL,
Ben Wallace,Central Midfield,21,New Zealand,Western Springs AFC,€150k,CONMEBOL,
Sairusi Nalaubu,Centre-Forward,28,Fiji,Navua FC,€150k,CONMEBOL,
Ivan Kumar,Central Midfield,28,Fiji,Rewa FA,€150k,CONMEBOL,
Joe Hoole,Central Midfield,23,New Zealand,Coastal Spirit FC,€150k,CONMEBOL,
Liam Molloy,Attacking Midfield,22,New Zealand,Tauranga City AFC,€150k,CONMEBOL,
Daniel Atkinson,Right Winger,22,New Zealand,Auckland United FC,€150k,CONMEBOL,
Adama Coulibaly,Centre-Back,20,New Zealand,Auckland FC,€150k,CONMEBOL,
Theo Ettema,Defensive Midfield,21,New Zealand,Miramar Rangers AFC,€150k,CONMEBOL,
Epeli Valevou,Midfield,24,Fiji,Rewa FA,€150k,CONMEBOL,
Adam Supyk,Left-Back,21,New Zealand,Wellington Olympic AFC,€150k,CONMEBOL,
Isikeli Sevanaia,Goalkeeper,22,Fiji,Lautoka FC,€150k,CONMEBOL,
Sebastian Barton-Ginger,Left Winger,20,New Zealand,Western Suburbs FC,€150k,CONMEBOL,
Ryan Lee,Right-Back,18,New Zealand,Wellington Phoenix FC Reserves,€150k,CONMEBOL,
Christian Gray,Centre-Back,28,New Zealand,Auckland City FC,€175k,CONMEBOL,
Joseph Lee,Left Winger,23,New Zealand,Auckland City FC,€175k,CONMEBOL,
Finn McKenlay,Central Midfield,19,New Zealand,Auckland FC,€200k,CONMEBOL,
Haris Zeb,Left Winger,24,New Zealand,Auckland City FC,€175k,CONMEBOL,
Joe Wallis,Goalkeeper,20,New Zealand,West Bromwich Albion U21,€200k,CONMEBOL,
Alby Kelly-Heald,Goalkeeper,20,New Zealand,Wellington Phoenix,€200k,CONMEBOL,
Aidan Carey,Centre-Back,24,New Zealand,Western Springs AFC,€200k,CONMEBOL,
Tor Davenport-Petersen,Central Midfield,26,New Zealand,Wellington Olympic AFC,€200k,CONMEBOL,
Aaryan Raj,Centre-Back,22,New Zealand,Eastern Suburbs AFC,€200k,CONMEBOL,
Kees Sims,Goalkeeper,22,New Zealand,GAIS,€200k,CONMEBOL,
Matthew Ellis,Attacking Midfield,24,New Zealand,Auckland City FC,€200k,CONMEBOL,
Jackson Manuel,Central Midfield,22,New Zealand,Auckland City FC,€200k,CONMEBOL,
Conor Tracey,Goalkeeper,28,New Zealand,Auckland City FC,€200k,CONMEBOL,
Leon van den Hoven,Central Midfield,25,New Zealand,Birkenhead United,€200k,CONMEBOL,
Niko Kirwan,Right-Back,29,New Zealand,FC Trapani 1905,€200k,CONMEBOL,
Michael Woud,Goalkeeper,26,New Zealand,Auckland FC,€200k,CONMEBOL,
Dylan Manickum,Attacking Midfield,33,New Zealand,Auckland City FC,€200k,CONMEBOL,
Monty Patterson,Centre-Forward,28,New Zealand,Atlético Ottawa,€200k,CONMEBOL,
Michael den Heijer,Centre-Back,29,New Zealand,Auckland City FC,€200k,CONMEBOL,
Hamish Watson,Centre-Forward,32,New Zealand,Wellington Olympic AFC,€200k,CONMEBOL,
Scott Basalaj,Goalkeeper,31,New Zealand,Wellington Olympic AFC,€200k,CONMEBOL,
Raphael Lea'i,Centre-Forward,21,Solomon Islands,Wollongong Wolves FC,€200k,CONMEBOL,
Nathan Rostron,Defensive Midfield,21,New Zealand,Birkenhead United,€175k,CONMEBOL,
Shuiab Khan,Centre-Back,29,Fiji,Birkenhead United,€175k,CONMEBOL,
Jonty Bidois,Centre-Forward,20,New Zealand,Auckland FC,€175k,CONMEBOL,
Curtis Hughes,Attacking Midfield,21,New Zealand,Birkenhead United,€175k,CONMEBOL,
Nathan Garrow,Goalkeeper,20,New Zealand,Auckland City FC,€175k,CONMEBOL,
Riley Grover,Right-Back,21,New Zealand,Christchurch United,€175k,CONMEBOL,
Merrill Nand,Centre-Forward,24,Fiji,Suva FA,€175k,CONMEBOL,
Joshua Tollervey,Centre-Forward,21,New Zealand,Christchurch United,€175k,CONMEBOL,
Edward Wilkinson,Right Winger,25,New Zealand,Christchurch United,€175k,CONMEBOL,
Thomson N'Koy,Right Winger,29,New Zealand,Without Club,€100k,CONMEBOL,
Kolinio Sivoki,Centre-Back,30,Fiji,Navua FC,€125k,CONMEBOL,
Bruce Izumi,Central Midfield,19,New Zealand,Auckland United FC,€100k,CONMEBOL,
Mosese Nabose,Midfield,27,Fiji,Rewa FA,€75k,CONMEBOL,
Keen Mandizvidza,Centre-Forward,17,New Zealand,Manurewa AFC,€75k,CONMEBOL,
Neemish Prasad,Defender,20,Fiji,Rewa FA,€75k,CONMEBOL,
Shofwaan Ali,Midfield,18,Fiji,Unknown,€75k,CONMEBOL,
Liam Hayes,Defensive Midfield,26,New Zealand,Without Club,€75k,CONMEBOL,
Sunny Deol,Midfield,28,Fiji,Navua FC,€75k,CONMEBOL,
Ryan Chandra,Midfield,21,Fiji,Nasinu FC,€75k,CONMEBOL,
Joshua Armitt,Right-Back,29,New Zealand,West Coast Rangers,€75k,CONMEBOL,
Liam Andersen,Attack,28,New Zealand,East Coast Bays AFC,€75k,CONMEBOL,
Rahul Naresh,Centre-Back,23,Fiji,Unknown,€75k,CONMEBOL,
Cameron Wardlaw,Right-Back,26,New Zealand,Unknown,€75k,CONMEBOL,
Zibraaz Sahib,Central Midfield,35,Fiji,Lautoka FC,€75k,CONMEBOL,
Dan McKay,Central Midfield,21,New Zealand,Utah Valley Wolverines (Utah Valley University),€75k,CONMEBOL,
Jonty Roubos,Right Winger,22,New Zealand,Wellington Olympic AFC,€50k,CONMEBOL,
Rahul Krishna,Midfield,33,Fiji,Navua FC,€75k,CONMEBOL,
Shivam Shandil,Defender,20,Fiji,Nadi FA,€75k,CONMEBOL,
Lekima Gonerau,Right Midfield,35,Fiji,Labasa FC,€75k,CONMEBOL,
Gaery Kubu,Left-Back,22,Fiji,Suva FA,€75k,CONMEBOL,
Josh Laqeretabua,Defensive Midfield,19,Fiji,Charlton Athletic U21,€75k,CONMEBOL,
Lewis Partridge,Right-Back,20,New Zealand,Wellington Phoenix FC Reserves,€75k,CONMEBOL,
Owen Smith,Left-Back,25,New Zealand,Miramar Rangers AFC,€75k,CONMEBOL,
Peniame Drova,Centre-Back,34,Fiji,Rewa FA,€75k,CONMEBOL,
Atunaisa Livanalagi,Midfield,28,Fiji,Tavua FC,€50k,CONMEBOL,
Kazik Swain,Attacking Midfield,19,New Zealand,Bay Olympic FC,€50k,CONMEBOL,
Oscar Boyce,Goalkeeper,21,New Zealand,Wellington Olympic AFC,€75k,CONMEBOL,
Birhanu Taye,Central Midfield,30,New Zealand,Waterside Karori AFC,€75k,CONMEBOL,
Pieter-Taco Bierema,Goalkeeper,30,New Zealand,Cashmere Technical FC,€75k,CONMEBOL,
Jack O'Connor,Left Winger,21,New Zealand,Petone FC,€75k,CONMEBOL,
Ravinesh Reddy,Attack,26,Fiji,Nadroga FC,€75k,CONMEBOL,
Alex Ridsdale,Right Winger,31,New Zealand,Without Club,€75k,CONMEBOL,
Leo Lesumai,Defender,27,Fiji,Nadi FA,€75k,CONMEBOL,
Dylan Laing-McConnell,Defensive Midfield,25,New Zealand,Fencibles United AFC,€75k,CONMEBOL,
Nikko Boxall,Centre-Back,33,New Zealand,Auckland City FC,€75k,CONMEBOL,
Josh Jones,Centre-Back,26,New Zealand,West Coast Rangers,€75k,CONMEBOL,
Abhishek Ram,Defender,23,Fiji,Nadroga FC,€75k,CONMEBOL,
Erik Panzer,Centre-Back,32,New Zealand,Without Club,€75k,CONMEBOL,
Luca Taylor,Goalkeeper,22,New Zealand,Bay Olympic FC,€75k,CONMEBOL,
Joji Vuakaca,Goalkeeper,22,Fiji,Labasa FC,€75k,CONMEBOL,
Sailasa Naicegu,Midfield,24,Fiji,Ba FC,€75k,CONMEBOL,
Ame Votoniu,Centre-Back,39,Fiji,Nadi FA,€75k,CONMEBOL,
Will Mendoza,Central Midfield,21,New Zealand,Auckland United FC,€75k,CONMEBOL,
Sakuisa Saqiri,Centre-Forward,22,Fiji,Nadroga FC,€75k,CONMEBOL,
Damion Kim,Midfield,16,New Zealand,East Coast Bays AFC,€75k,CONMEBOL,
Regan Frame,Goalkeeper,19,New Zealand,Nomads United AFC,€75k,CONMEBOL,
James Elder,Right Winger,18,New Zealand,East Coast Bays AFC,€75k,CONMEBOL,
Jordan Lamb,Centre-Forward,25,New Zealand,Miramar Rangers AFC,€75k,CONMEBOL,
Ilham Hameedi,Central Midfield,22,New Zealand,Manurewa AFC,€75k,CONMEBOL,
Marcus Nevin,Goalkeeper,21,New Zealand,Eastern Suburbs AFC,€75k,CONMEBOL,
Campbell Higgins,Centre-Back,33,New Zealand,Tauranga City AFC,€75k,CONMEBOL,
William Valentine,Midfield,33,Fiji,Nadroga FC,€75k,CONMEBOL,
Raj Pillay,Centre-Forward,23,Fiji,Ba FC,€75k,CONMEBOL,
Adam Bell,Left-Back,21,New Zealand,Auckland City FC,€75k,CONMEBOL,
Oscar Duffy,Right-Back,19,New Zealand,Bay Olympic FC,€50k,CONMEBOL,
Vereti Dickson,Goalkeeper,37,Fiji,Nadi FA,€50k,CONMEBOL,
Semesa Sacere,Defender,30,Fiji,Nadroga FC,€75k,CONMEBOL,
Joshua Zatorski,Central Midfield,22,New Zealand,North Wellington FC,€50k,CONMEBOL,
Jason Kay,Centre-Back,21,New Zealand,Northern Rovers,€50k,CONMEBOL,
Jack Allatt,Centre-Back,28,New Zealand,Coastal Spirit FC,€50k,CONMEBOL,
Tze-xuan Loke,Right-Back,20,New Zealand,Wellington Phoenix,€100k,CONMEBOL,
Ratu Nalewadonu,Defender,29,Fiji,Nasinu FC,€50k,CONMEBOL,
Braedan Quilter-Phipps,Centre-Back,22,New Zealand,Without Club,€50k,CONMEBOL,
Aston Burns,Left-Back,18,New Zealand,Fencibles United AFC,€50k,CONMEBOL,
Kini Madigi,Midfield,26,Fiji,Ba FC,€50k,CONMEBOL,
Simione Damuni,Defender,35,Fiji,Navua FC,€50k,CONMEBOL,
Waisea Duwai,Defender,30,Fiji,Tavua FC,€50k,CONMEBOL,
Alvish Ram,Attack,29,Fiji,Unknown,€50k,CONMEBOL,
Faizal Ali,Midfield,25,Fiji,Unknown,€50k,CONMEBOL,
Nick Petherick,Midfield,20,New Zealand,Eastern Suburbs AFC,€50k,CONMEBOL,
Nicholas Burke,Goalkeeper,25,New Zealand,Fencibles United AFC,€50k,CONMEBOL,
Panapasa Tawakece,Attack,25,Fiji,Lautoka FC,€50k,CONMEBOL,
Tom Kirkland,Right-Back,28,New Zealand,Island Bay United,€50k,CONMEBOL,
Sam Gates,Attack,18,New Zealand,Miramar Rangers AFC,€50k,CONMEBOL,
Sam Mitrakas,Central Midfield,24,New Zealand,Waterside Karori AFC,€50k,CONMEBOL,
Ratu Halstead,Goalkeeper,32,Fiji,Nadi FA,€50k,CONMEBOL,
Vuniuci Tikomaimereke,Left-Back,35,Fiji,Nadroga FC,€50k,CONMEBOL,
Frank Clarke,Centre-Forward,27,New Zealand,Fencibles United AFC,€50k,CONMEBOL,
Emori Ragata,Goalkeeper,37,Fiji,Nasinu FC,€50k,CONMEBOL,
Jacob Anderson,Central Midfield,26,New Zealand,Nomads United AFC,€50k,CONMEBOL,
Junior Singh,Attack,25,Fiji,Tavua FC,€50k,CONMEBOL,
Josh Rudland,Centre-Forward,21,New Zealand,Wellington Olympic AFC,€50k,CONMEBOL,
Noah Boyce,Left-Back,22,New Zealand,Wellington Olympic AFC,€50k,CONMEBOL,
Caleb Cottom,Left Winger,22,New Zealand,Nomads United AFC,€50k,CONMEBOL,
Lewis Reid,Attacking Midfield,25,New Zealand,Tauranga City AFC,€50k,CONMEBOL,
Robert Dymond,Defensive Midfield,26,New Zealand,West Coast Rangers,€50k,CONMEBOL,
Seth Karunaratne,Centre-Back,20,New Zealand,Wellington Phoenix FC Reserves,€50k,CONMEBOL,
Mohammed Nabeel,Left-Back,23,Fiji,Birkenhead United,€50k,CONMEBOL,
Melvin Mani,Attack,22,Fiji,Labasa FC,€50k,CONMEBOL,
Luca Barclay,Second Striker,21,New Zealand,Wellington Olympic AFC,€50k,CONMEBOL,
Noa Prestel,Centre-Back,22,New Zealand,Coastal Spirit FC,€50k,CONMEBOL,
Romit Narayan,Midfield,25,Fiji,Nadi FA,€50k,CONMEBOL,
Mohammed Naizal,Midfield,25,Fiji,Suva FA,€50k,CONMEBOL,
Joel Peterson,Right Midfield,27,New Zealand,Christchurch United,€50k,CONMEBOL,
Jacob Woolford,Centre-Forward,20,New Zealand,Auckland FC Reserves,€50k,CONMEBOL,
Giovanni Peredo,Centre-Forward,23,New Zealand,Bay Olympic FC,€50k,CONMEBOL,
Cameron Brown,Defender,22,New Zealand,East Coast Bays AFC,€50k,CONMEBOL,
Jared Eglinton,Attack,21,New Zealand,Without Club,€50k,CONMEBOL,
Jitoko Vulava,Goalkeeper,28,Fiji,Labasa FC,€50k,CONMEBOL,
Jago Godden,Attacking Midfield,21,New Zealand,Christchurch United,€75k,CONMEBOL,
Waisake Navunigasau,Defender,37,Fiji,Suva FA,€50k,CONMEBOL,
Dejaun Naidoo,Midfield,18,New Zealand,Auckland FC Reserves,€75k,CONMEBOL,
Eparama Moraica,Midfield,20,Fiji,Labasa FC,€100k,CONMEBOL,
Maikah Dau,Central Midfield,16,Fiji,Nasinu FC,€100k,CONMEBOL,
Beniamino Lebatavatava,Midfield,24,Fiji,Nadi FA,€100k,CONMEBOL,
Afraz Ali,Right-Back,27,Fiji,Nadi FA,€100k,CONMEBOL,
Joela Biuvanua,Goalkeeper,26,Fiji,Nadi FA,€100k,CONMEBOL,
Malakai Lavecake,Attack,21,Fiji,Nadroga FC,€100k,CONMEBOL,
Remueru Tekiate,Centre-Back,34,Fiji,Suva FA,€100k,CONMEBOL,
Joeli Navalawa,Midfield,29,Fiji,Ba FC,€100k,CONMEBOL,
Josaia Sela,Centre-Forward,22,Fiji,Rewa FA,€100k,CONMEBOL,
Mohammed Ayman,Defender,20,Fiji,Nadi FA,€100k,CONMEBOL,
Mohammed Raheem,Right-Back,21,Fiji,Unknown,€100k,CONMEBOL,
Joeli Ranitu,Right-Back,26,Fiji,Suva FA,€100k,CONMEBOL,
Semi Nabenu,Centre-Back,20,Fiji,Auckland FC Reserves,€100k,CONMEBOL,
Rusiate Matarerega,Centre-Forward,32,Fiji,Nadi FA,€100k,CONMEBOL,
Sterling Vasconcellos,Centre-Back,20,Fiji,Eastern Suburbs AFC,€100k,CONMEBOL,
Blake Inder,Defensive Midfield,21,New Zealand,Miramar Rangers AFC,€75k,CONMEBOL,
William Khan,Centre-Back,19,Fiji,Nadi FA,€100k,CONMEBOL,
Ratu Tulivou,Attack,22,Fiji,Nadi FA,€100k,CONMEBOL,
Ramzan Khan,Left Midfield,25,Fiji,Suva FA,€100k,CONMEBOL,
Eneriko Matau,Midfield,21,Fiji,Nadi FA,€100k,CONMEBOL,
Kavaia Rawaqa,Left-Back,34,Fiji,Rewa FA,€100k,CONMEBOL,
Manasa Nawakula,Defender,31,Fiji,Lautoka FC,€100k,CONMEBOL,
Simione Nabenu,Centre-Back,25,Fiji,Lautoka FC,€75k,CONMEBOL,
Ryan Naresh,Defender,18,Fiji,Ba FC,€75k,CONMEBOL,
Tom Scott,Centre-Back,26,New Zealand,Western Suburbs FC,€75k,CONMEBOL,
Benjamin Lapslie,Centre-Back,26,New Zealand,Without Club,€75k,CONMEBOL,
Hayden Thomas,Central Midfield,19,New Zealand,Wellington Phoenix FC Reserves,€75k,CONMEBOL,
Dave Radrigai,Defensive Midfield,35,Fiji,Suva FA,€100k,CONMEBOL,
Aporosa Yada,Attacking Midfield,22,Fiji,Unknown,€100k,CONMEBOL,
Ravnesh Karan Singh,Central Midfield,33,Fiji,Suva FA,€100k,CONMEBOL,
Siotame Kubu,Midfield,31,Fiji,Nadroga FC,€100k,CONMEBOL,
Ajesh Chand,Midfield,24,Fiji,Unknown,€75k,CONMEBOL,
Oliver Pickering,Central Midfield,23,New Zealand,Petone FC,€100k,CONMEBOL,
Kieran McMinn,Centre-Forward,27,New Zealand,Petone FC,€100k,CONMEBOL,
Xavier Maddox,Central Midfield,20,New Zealand,Fencibles United AFC,€100k,CONMEBOL,
Charlie Beale,Defensive Midfield,21,New Zealand,Christchurch United,€100k,CONMEBOL,
Ryusei Ishibashi,Right Winger,23,New Zealand,East Coast Bays AFC,€100k,CONMEBOL,
Lachie McIsaac,Left-Back,27,New Zealand,Cashmere Technical FC,€100k,CONMEBOL,
Noah Tipene-Clegg,Central Midfield,24,New Zealand,Western Suburbs FC,€100k,CONMEBOL,
Zac Jones,Goalkeeper,24,New Zealand,AFC Fylde,€100k,CONMEBOL,
Keegan Smith,Goalkeeper,26,New Zealand,Birkenhead United,€100k,CONMEBOL,
Oliver Whyte,Attacking Midfield,25,New Zealand,Without Club,€100k,CONMEBOL,
Billy Jones,Centre-Back,27,New Zealand,East Coast Bays AFC,€100k,CONMEBOL,
Sam Burfoot,Attacking Midfield,31,New Zealand,West Coast Rangers,€100k,CONMEBOL,
Tamupiwa Dimairo,Right-Back,29,New Zealand,Without Club,€100k,CONMEBOL,
Damian Hirst,Goalkeeper,30,New Zealand,West Coast Rangers,€100k,CONMEBOL,
Ross Haviland,Centre-Back,33,New Zealand,Auckland United FC,€100k,CONMEBOL,
Jordan Vale,Right-Back,31,New Zealand,Auckland City FC,€100k,CONMEBOL,
Tommy Smith,Centre-Back,35,New Zealand,Without Club,€100k,CONMEBOL,
Steven Koti,Left-Back,25,Solomon Islands,Nadroga FC,€100k,CONMEBOL,
Junior Rocky,Centre-Forward,21,Solomon Islands,Honiara City FC,€100k,CONMEBOL,
Marlon Tahioa,Defensive Midfield,26,Solomon Islands,Central Coast FC,€100k,CONMEBOL,
Leon Kofana,Centre-Back,23,Solomon Islands,Rewa FA,€100k,CONMEBOL,
Jared Rongosulia,Midfield,29,Solomon Islands,Navua FC,€100k,CONMEBOL,
Matthew Charitar,Defender,27,Fiji,Navua FC,€100k,CONMEBOL,
Akuila Mateisuva,Goalkeeper,33,Fiji,Suva FA,€100k,CONMEBOL,
Bruce Hughes,Centre-Forward,28,Fiji,Rewa FA,€100k,CONMEBOL,
Tuiba Batiratu,Attack,23,Fiji,Nadi FA,€100k,CONMEBOL,
Liam Bailey,Centre-Back,22,New Zealand,Birkenhead United,€75k,CONMEBOL,
Clayton Lewis,Central Midfield,28,New Zealand,Without Club,€100k,CONMEBOL,
Kishan Sami,Left-Back,25,Fiji,Lautoka FC,€75k,CONMEBOL,
Molis Gagame Jr.,Central Midfield,25,Solomon Islands,Suva FA,€75k,CONMEBOL,
Manit Lal,Midfield,26,Fiji,Nasinu FC,€75k,CONMEBOL,
William Komasi,Defensive Midfield,25,Solomon Islands,Adelaide Cobras FC,€75k,CONMEBOL,
Matthew Brazier,Centre-Forward,28,New Zealand,Petone FC,€75k,CONMEBOL,
Coran Perks,Defender,21,New Zealand,Without Club,€75k,CONMEBOL,
Faazil Faizul Ali,Centre-Forward,22,Fiji,Ba FC,€75k,CONMEBOL,
Barrie Limoki,Attack,21,Solomon Islands,Solomon Warriors F.C.,€75k,CONMEBOL,
Flynn Saxon,Right-Back,20,New Zealand,Bay Olympic FC,€75k,CONMEBOL,
Jaygray Sipakana,Attack,32,Solomon Islands,Unknown,€75k,CONMEBOL,
James Hoyt,Right Winger,34,Fiji,Without Club,€75k,CONMEBOL,
Alick Stanton,Centre-Back,27,Solomon Islands,Central Coast FC,€75k,CONMEBOL,
Seth Ward,Left Winger,24,New Zealand,Unknown,€75k,CONMEBOL,
Jone Naraba,Attack,32,Fiji,Nasinu FC,€75k,CONMEBOL,
Paul Francis,Left Winger,20,Solomon Islands,Nasinu FC,€75k,CONMEBOL,
Reeshab Permal,Defender,18,Fiji,Navua FC,€75k,CONMEBOL,
John Orobulu,Centre-Forward,24,Solomon Islands,Rewa FA,€75k,CONMEBOL,
Clivert Sam,Attacking Midfield,20,Solomon Islands,Green Shield FC,€75k,CONMEBOL,
James Mitchell,Central Midfield,20,New Zealand,Auckland FC Reserves,€75k,CONMEBOL,
Nilkash Prasad,Midfield,20,Fiji,Nadi FA,€75k,CONMEBOL,
Andrew Storer,Centre-Back,29,New Zealand,Coastal Spirit FC,€75k,CONMEBOL,
France Catarogo,Midfield,27,Fiji,Ba FC,€75k,CONMEBOL,
Daniel Meyn,Central Midfield,20,New Zealand,Christchurch United,€75k,CONMEBOL,
Penaia Nagatalevu,Midfield,21,Fiji,Ba FC,€75k,CONMEBOL,
Abhishek Deo,Midfield,27,Fiji,Suva FA,€75k,CONMEBOL,
Xavier Coleman,Left Winger,19,New Zealand,Miramar Rangers AFC,€75k,CONMEBOL,
Netani Suluka,Attack,23,Fiji,Labasa FC,€75k,CONMEBOL,
Jolame Domonikibau,Goalkeeper,25,Fiji,Rewa FA,€75k,CONMEBOL,
Eamonn McCarron,Goalkeeper,17,New Zealand,Wellington Phoenix FC Reserves,€75k,CONMEBOL,
Darold Kakasi,Second Striker,26,Solomon Islands,Lautoka FC,€75k,CONMEBOL,
Atunaisa Naucukidi,Goalkeeper,27,Fiji,Ba FC,€75k,CONMEBOL,
Philip Maeta,Midfield,27,Solomon Islands,Nadi FA,€75k,CONMEBOL,
William Vincent,Central Midfield,19,New Zealand,Wellington Olympic AFC,€75k,CONMEBOL,
Jonetani Newa,Defender,27,Fiji,Suva FA,€75k,CONMEBOL,
Connor Neil,Attacking Midfield,28,New Zealand,Dunedin City Royals,€75k,CONMEBOL,
Poasa Bainivalu,Centre-Back,32,Fiji,Lautoka FC,€75k,CONMEBOL,
Jackson Cole,Right Winger,19,New Zealand,Without Club,€75k,CONMEBOL,
Edwin Sahayam,Defender,35,Fiji,Labasa FC,€75k,CONMEBOL,
Harry Chote,Centre-Back,25,Samoa,Miramar Rangers AFC,€75k,CONMEBOL,
Riley Dalziell,Centre-Back,19,New Zealand,Eastern Suburbs AFC,€75k,CONMEBOL,
Dauntae Mariner,Defensive Midfield,25,Samoa,Nelson Suburbs FC,€75k,CONMEBOL,
Shivnil Chand,Defender,24,Fiji,Nadroga FC,€75k,CONMEBOL,
Leo Hall,Left-Back,19,New Zealand,Bay Olympic FC,€75k,CONMEBOL,
Shazil Ali,Right Midfield,29,Fiji,Lautoka FC,€75k,CONMEBOL,
Madhwan Goundar,Midfield,36,Fiji,Rewa FA,€75k,CONMEBOL,
Malakai Rere,Defender,24,Fiji,Unknown,€75k,CONMEBOL,
William Eng,Centre-Forward,20,New Zealand,Bay Olympic FC,€75k,CONMEBOL,
Astor Perez Baldoni,Attacking Midfield,18,New Zealand,Bay Olympic FC,€75k,CONMEBOL,
Max Chretien,Attacking Midfield,25,New Zealand,Coastal Spirit FC,€75k,CONMEBOL,
Kalisito Veikoka,Midfield,29,Fiji,Nasinu FC,€75k,CONMEBOL,
Evander Nasova,Attack,27,Fiji,Unknown,€75k,CONMEBOL,
Anish Khem,Defender,31,Fiji,Labasa FC,€75k,CONMEBOL,
Ronish Singh,Attack,26,Fiji,Nasinu FC,€75k,CONMEBOL,
Federico Pereira,Centre-Back,25,Uruguay,Deportivo Toluca,€5.50m,CONCACAF,
Pedro Lima,Right-Back,19,Brazil,Wolverhampton Wanderers,€5.00m,CONCACAF,
Luighi,Centre-Forward,19,Brazil,Sociedade Esportiva Palmeiras,€5.00m,CONCACAF,
Elian Irala,Defensive Midfield,21,Argentina,Shabab Al-Ahli Club,€5.00m,CONCACAF,
Alexsander,Defensive Midfield,21,Brazil,Al-Ahli SFC,€5.00m,CONCACAF,
Matheus Goncalves,Right Winger,19,Brazil,CR Flamengo,€5.00m,CONCACAF,
Rwan Cruz,Centre-Forward,24,Brazil,Botafogo de Futebol e Regatas,€5.00m,CONCACAF,
Lucas Ferreira,Right Winger,19,Brazil,São Paulo Futebol Clube,€5.00m,CONCACAF,
Evertton Araujo,Defensive Midfield,22,Brazil,CR Flamengo,€5.00m,CONCACAF,
Joao Marcelo,Centre-Back,25,Brazil,Cruzeiro Esporte Clube,€5.50m,CONCACAF,
Lucas Pires,Left-Back,24,Brazil,Burnley FC,€5.00m,CONCACAF,
Mateo Silvetti,Right Winger,19,Argentina,CA Newell's Old Boys,€5.00m,CONCACAF,
Fernando Gorriaran,Central Midfield,30,Uruguay,Tigres UANL,€5.50m,CONCACAF,
Cauly,Attacking Midfield,29,Brazil,Esporte Clube Bahia,€5.50m,CONCACAF,
Milton Delgado,Defensive Midfield,20,Argentina,CA Boca Juniors,€5.50m,CONCACAF,
Bernardo,Centre-Back,30,Brazil,TSG 1899 Hoffenheim,€5.50m,CONCACAF,
Victor Davila,Centre-Forward,27,Chile,CF América,€5.50m,CONCACAF,
Rodrigo Becao,Centre-Back,29,Brazil,Fenerbahce,€5.50m,CONCACAF,
Lucas Verissimo,Centre-Back,30,Brazil,Al-Wakrah SC,€5.50m,CONCACAF,
Martin Payero,Central Midfield,26,Argentina,Udinese Calcio,€5.50m,CONCACAF,
Williams Alarcon,Central Midfield,24,Chile,CA Boca Juniors,€5.50m,CONCACAF,
Marquinhos,Right Winger,22,Brazil,Cruzeiro Esporte Clube,€5.50m,CONCACAF,
Jeffinho,Left Winger,25,Brazil,Botafogo de Futebol e Regatas,€5.00m,CONCACAF,
Federico Redondo,Defensive Midfield,22,Argentina,Inter Miami CF,€5.00m,CONCACAF,
Natanael,Right-Back,23,Brazil,Clube Atlético Mineiro,€5.00m,CONCACAF,
Roman Vega,Left-Back,21,Argentina,Zenit St. Petersburg,€5.00m,CONCACAF,
Clayton,Centre-Forward,26,Brazil,Rio Ave FC,€5.00m,CONCACAF,
Gabriel Silva,Right Winger,23,Brazil,CD Santa Clara,€5.00m,CONCACAF,
Fabinho,Defensive Midfield,23,Brazil,Red Bull Bragantino,€5.00m,CONCACAF,
Lucas Ocampos,Left Winger,31,Argentina,CF Monterrey,€6.00m,CONCACAF,
Martin Satriano,Centre-Forward,24,Uruguay,RC Lens,€5.00m,CONCACAF,
Nicolas Capaldo,Central Midfield,26,Argentina,Hamburger SV,€5.00m,CONCACAF,
