name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Fisayo Dele-Bashiru,MF,Attacking_Midfielder,24,Nigeria,CAF,SS Lazio,Serie_A,121.9,fisayodele-bashiru_NIG
Flavio,MF,Central_Midfielder,29,Brazil,CONMEBOL,Al-Taawoun FC,Saudi_ProLeague,35.8,flavio_BRA
Florentino,MF,Defensive_Midfielder,25,Portugal,UEFA,SL Benfica,Liga_Portugal,357.5,florentino_POR
Florian Flecker,MF,Side_Midfielder,29,Austria,UEFA,LASK,Austria_Bundesliga,13.0,florianflecker_AUS
Florian Kastenmeier,GK,Goalkeeper,28,Germany,UEFA,Fortuna Düsseldorf,Bundesliga_2,24.4,floriankastenmeier_GER
Florian Lejeune,DF,Centre_Back,34,France,UEFA,Rayo Vallecano,LaLiga,40.6,florianlejeune_FRA
Florian Muller,GK,Goalkeeper,27,Germany,UEFA,SC Freiburg,Bundesliga,19.5,florianmuller_GER
Florian Niederlechner,FW,Striker,34,Germany,UEFA,TSV 1860 Munich,Other_leagues,6.5,florianniederlechner_GER
Florian Sotoca,FW,Striker,34,France,UEFA,RC Lens,Ligue1,32.5,floriansotoca_FRA
Florian Wirtz,MF,Attacking_Midfielder,22,Germany,UEFA,Liverpool FC,PremierLeague,2275.0,florianwirtz_GER
Flynn Downes,MF,Defensive_Midfielder,26,England,UEFA,Southampton FC,Championship,211.2,flynndownes_ENG
Folarin Balogun,FW,Striker,24,United States,CONCACAF,AS Monaco,Ligue1,292.5,folarinbalogun_UNI
Fotis Ioannidis,FW,Striker,25,Greece,UEFA,Panathinaikos FC,SuperLeague1,243.8,fotisioannidis_GRE
Fran Beltran,MF,Central_Midfielder,26,Spain,UEFA,Celta de Vigo,LaLiga,130.0,franbeltran_SPA
Francesco Acerbi,DF,Centre_Back,37,Italy,UEFA,Inter Milan,Serie_A,48.8,francescoacerbi_ITA
Francisco Alvarez,DF,Centre_Back,25,Argentina,CONMEBOL,AA Argentinos Juniors,Liga_Profesional,65.0,franciscoalvarez_ARG
Francisco Moura,DF,Left_Back,25,Portugal,UEFA,FC Porto,Liga_Portugal,243.8,franciscomoura_POR
Francisco Ortega,DF,Left_Back,26,Argentina,CONMEBOL,Olympiacos Piraeus,SuperLeague1,97.5,franciscoortega_ARG
Francis de Vries,DF,Left_Back,30,New Zealand,OFC,Auckland FC,A_League,9.8,francisdevries_NEW
Franco Armani,GK,Goalkeeper,38,Argentina,CONMEBOL,CA River Plate,Liga_Profesional,11.4,francoarmani_ARG
Franco Ibarra,MF,Defensive_Midfielder,24,Argentina,CONMEBOL,CA Rosario Central,Liga_Profesional,56.9,francoibarra_ARG
Franco Israel,GK,Goalkeeper,25,Uruguay,CONMEBOL,Sporting CP,Liga_Portugal,81.2,francoisrael_URU
Franco Petroli,GK,Goalkeeper,27,Argentina,CONMEBOL,CD Godoy Cruz Antonio Tomba,Liga_Profesional,52.0,francopetroli_ARG
Franco Vazquez,MF,Attacking_Midfielder,36,Argentina,CONMEBOL,US Cremonese,Serie_A,12.2,francovazquez_ARG
Franculino,FW,Striker,21,Guinea-Bissau,CAF,FC Midtjylland,Danish_Superligaen,211.2,franculino_GUI
Fran Garcia,DF,Left_Back,25,Spain,UEFA,Real Madrid,LaLiga,292.5,frangarcia_SPA
Frank Acheampong,FW,Left_Winger,31,Ghana,CAF,Henan FC,Chinese_SuperLeague,10.6,frankacheampong_GHA
Frankie Kent,DF,Centre_Back,29,England,UEFA,Heart of Midlothian FC,Scottish_Premiership,13.0,frankiekent_ENG
Frank Magri,FW,Striker,25,Cameroon,CAF,FC Toulouse,Ligue1,48.8,frankmagri_CAM
Franko Andrijasevic,MF,Attacking_Midfielder,34,Croatia,UEFA,Zhejiang FC,Chinese_SuperLeague,6.5,frankoandrijasevic_CRO
Frank Onyeka,MF,Central_Midfielder,27,Nigeria,CAF,Brentford FC,PremierLeague,113.8,frankonyeka_NIG
Fran Navarro,FW,Striker,27,Spain,UEFA,SC Braga,Liga_Portugal,97.5,frannavarro_SPA
Frans Kratzig,DF,Left_Back,22,Germany,UEFA,Red Bull Salzburg,Austria_Bundesliga,56.9,franskratzig_GER
Fran Vieites,GK,Goalkeeper,26,Spain,UEFA,Real Betis Balompié,LaLiga,32.5,franvieites_SPA
Fraser Forster,GK,Goalkeeper,37,England,UEFA,Without Club,Without_Club,16.2,fraserforster_ENG
Fred,MF,Central_Midfielder,32,Brazil,CONMEBOL,Fenerbahce,SuperLig,162.5,fred_BRA
Freddie Woodman,GK,Goalkeeper,28,England,UEFA,Liverpool FC,PremierLeague,56.9,freddiewoodman_ENG
Frederik Alves,DF,Centre_Back,25,Denmark,UEFA,Bröndby IF,Danish_Superligaen,40.6,frederikalves_DEN
Frederik Ronnow,GK,Goalkeeper,32,Denmark,UEFA,1.FC Union Berlin,Bundesliga,48.8,frederikronnow_DEN
Fredrik Jensen,MF,Attacking_Midfielder,27,Finland,UEFA,Aris Thessaloniki,SuperLeague1,56.9,fredrikjensen_FIN
Fredrik Sjovold,DF,Right_Back,21,Norway,UEFA,FK Bodø/Glimt,Eliteserien,113.8,fredriksjovold_NOR
Frenkie de Jong,MF,Central_Midfielder,28,Netherlands,UEFA,FC Barcelona,LaLiga,731.2,frenkiedejong_NET
Gabriel Arias,GK,Goalkeeper,37,Chile,CONMEBOL,Racing Club,Liga_Profesional,11.4,gabrielarias_CHI
Gabriel Avalos,FW,Striker,34,Paraguay,CONMEBOL,CA Independiente,Liga_Profesional,16.2,gabrielavalos_PAR
Gabriel Batista,GK,Goalkeeper,27,Brazil,CONMEBOL,CD Santa Clara,Liga_Portugal,65.0,gabrielbatista_BRA
Gabriel Cleur,DF,Right_Back,27,Australia,AFC,Western Sydney Wanderers,A_League,7.3,gabrielcleur_AUS
Gabriel Gudmundsson,DF,Left_Back,26,Sweden,UEFA,Leeds United,PremierLeague,113.8,gabrielgudmundsson_SWE
Gabriel Jesus,FW,Striker,28,Brazil,CONMEBOL,Arsenal FC,PremierLeague,520.0,gabrieljesus_BRA
Gabriel Martinelli,FW,Left_Winger,24,Brazil,CONMEBOL,Arsenal FC,PremierLeague,893.8,gabrielmartinelli_BRA
Gabriel Moscardo,MF,Defensive_Midfielder,19,Brazil,CONMEBOL,SC Braga,Liga_Portugal,130.0,gabrielmoscardo_BRA
Gabriel Osho,DF,Centre_Back,26,Nigeria,CAF,AJ Auxerre,Ligue1,48.8,gabrielosho_NIG
Gabriel Paulista,DF,Centre_Back,34,Brazil,CONMEBOL,Besiktas JK,SuperLig,16.2,gabrielpaulista_BRA
Gabriel Pec,FW,Right_Winger,24,Brazil,CONMEBOL,Los Angeles Galaxy,MLS,162.5,gabrielpec_BRA
Gabriel Rojas,DF,Left_Back,28,Argentina,CONMEBOL,Racing Club,Liga_Profesional,48.8,gabrielrojas_ARG
Gabriel Sara,MF,Central_Midfielder,26,Brazil,CONMEBOL,Galatasaray,SuperLig,357.5,gabrielsara_BRA
Gabriel Sigua,MF,Central_Midfielder,20,Georgia,UEFA,FC Basel 1893,Swiss_SuperLeague,32.5,gabrielsigua_GEO
Gabriel Sloane-Rodrigues,FW,Right_Winger,18,New Zealand,OFC,Wellington Phoenix,A_League,1.6,gabrielsloane-rodrigues_NEW
Gabriel Slonina,GK,Goalkeeper,21,United States,CONCACAF,Chelsea FC,PremierLeague,56.9,gabrielslonina_UNI
Gabriel Strefezza,FW,Right_Winger,28,Brazil,CONMEBOL,Como 1907,Serie_A,97.5,gabrielstrefezza_BRA
Gabri Veiga,MF,Attacking_Midfielder,23,Spain,UEFA,FC Porto,Liga_Portugal,292.5,gabriveiga_SPA
Gaius Makouta,MF,Central_Midfielder,28,Congo,CAF,Alanyaspor,SuperLig,34.1,gaiusmakouta_CON
Gaston Alvarez,DF,Centre_Back,25,Uruguay,CONMEBOL,Al-Qadsiah FC,Saudi_ProLeague,146.2,gastonalvarez_URU
Gaston Gimenez,MF,Defensive_Midfielder,34,Paraguay,CONMEBOL,Club Cerro Porteño,Other_leagues,8.1,gastongimenez_PAR
Gaston Hernandez,DF,Centre_Back,27,Argentina,CONMEBOL,CA San Lorenzo de Almagro,Liga_Profesional,56.9,gastonhernandez_ARG
Gaston Lodico,MF,Central_Midfielder,27,Argentina,CONMEBOL,Instituto ACC,Liga_Profesional,61.8,gastonlodico_ARG
Gaston Martirena,DF,Right_Back,25,Uruguay,CONMEBOL,Racing Club,Liga_Profesional,97.5,gastonmartirena_URU
Gaston Suso,DF,Centre_Back,34,Argentina,CONMEBOL,Club de Gimnasia y Esgrima La Plata,Liga_Profesional,5.7,gastonsuso_ARG
Gautier Larsonneur,GK,Goalkeeper,28,France,UEFA,AS Saint-Étienne,Ligue2,48.8,gautierlarsonneur_FRA
Gavi,MF,Central_Midfielder,20,Spain,UEFA,FC Barcelona,LaLiga,975.0,gavi_SPA
Gavin Bazunu,GK,Goalkeeper,23,Ireland,UEFA,Southampton FC,Championship,146.2,gavinbazunu_IRE
Gedson Fernandes,MF,Central_Midfielder,26,Portugal,UEFA,Besiktas JK,SuperLig,292.5,gedsonfernandes_POR
Geoffrey Kondogbia,MF,Defensive_Midfielder,32,Central African Republic,CAF,Olympique Marseille,Ligue1,113.8,geoffreykondogbia_CEN
George Campbell,DF,Centre_Back,24,United States,CONCACAF,West Bromwich Albion,Championship,19.5,georgecampbell_UNI
Georges Mikautadze,FW,Striker,24,Georgia,UEFA,Olympique Lyon,Ligue1,357.5,georgesmikautadze_GEO
Georginio Wijnaldum,MF,Central_Midfielder,34,Netherlands,UEFA,Al-Ettifaq FC,Saudi_ProLeague,48.8,georginiowijnaldum_NET
Georgios Vagiannidis,DF,Right_Back,23,Greece,UEFA,Panathinaikos FC,SuperLeague1,130.0,georgiosvagiannidis_GRE
Georgiy Bushchan,GK,Goalkeeper,31,Ukraine,UEFA,Al-Shabab FC,Saudi_ProLeague,81.2,georgiybushchan_UKR
Geovany Quenda,FW,Right_Winger,18,Portugal,UEFA,Sporting CP,Liga_Portugal,731.2,geovanyquenda_POR
Gerasimos Mitoglou,DF,Centre_Back,25,Greece,UEFA,AEK Athens,SuperLeague1,16.2,gerasimosmitoglou_GRE
German Onugkha,FW,Striker,29,Russia,UEFA,FC Copenhagen,Danish_Superligaen,29.2,germanonugkha_RUS
German Pezzella,DF,Centre_Back,34,Argentina,CONMEBOL,CA River Plate,Liga_Profesional,29.2,germanpezzella_ARG
Geronimo Rulli,GK,Goalkeeper,33,Argentina,CONMEBOL,Olympique Marseille,Ligue1,130.0,geronimorulli_ARG
Gerso,FW,Left_Winger,34,Guinea-Bissau,CAF,Incheon United,K_League2,9.8,gerso_GUI
Giacomo Bonaventura,MF,Attacking_Midfielder,35,Italy,UEFA,Without Club,Without_Club,32.5,giacomobonaventura_ITA
Gianluca Busio,MF,Central_Midfielder,23,United States,CONCACAF,Venezia FC,Serie_B,97.5,gianlucabusio_UNI
Gianluca Lapadula,FW,Striker,35,Peru,CONMEBOL,Spezia Calcio,Serie_B,12.2,gianlucalapadula_PER
Gianluca Mancini,DF,Centre_Back,29,Italy,UEFA,AS Roma,Serie_A,243.8,gianlucamancini_ITA
Gianluca Scamacca,FW,Striker,26,Italy,UEFA,Atalanta BC,Serie_A,390.0,gianlucascamacca_ITA
Gianluigi Donnarumma,GK,Goalkeeper,26,Italy,UEFA,Paris Saint-Germain,Ligue1,650.0,gianluigidonnarumma_ITA
Giannis Konstantelias,MF,Attacking_Midfielder,22,Greece,UEFA,PAOK Thessaloniki,SuperLeague1,276.2,gianniskonstantelias_GRE
Giannis Michailidis,DF,Centre_Back,25,Greece,UEFA,PAOK Thessaloniki,SuperLeague1,29.2,giannismichailidis_GRE
Gianni Stensness,DF,Centre_Back,26,Australia,AFC,Viking FK,Eliteserien,14.6,giannistensness_AUS
Gideon Mensah,DF,Left_Back,27,Ghana,CAF,AJ Auxerre,Ligue1,65.0,gideonmensah_GHA
Gift Orban,FW,Striker,23,Nigeria,CAF,TSG 1899 Hoffenheim,Bundesliga,162.5,giftorban_NIG
Giorgi Chakvetadze,MF,Attacking_Midfielder,25,Georgia,UEFA,Watford FC,Championship,73.1,giorgichakvetadze_GEO
Giorgi Kochorashvili,MF,Defensive_Midfielder,26,Georgia,UEFA,Sporting CP,Liga_Portugal,81.2,giorgikochorashvili_GEO
Giorgi Mamardashvili,GK,Goalkeeper,24,Georgia,UEFA,Liverpool FC,PremierLeague,487.5,giorgimamardashvili_GEO
Giorgio Scalvini,DF,Centre_Back,21,Italy,UEFA,Atalanta BC,Serie_A,568.8,giorgioscalvini_ITA
Giovani Lo Celso,MF,Attacking_Midfielder,29,Argentina,CONMEBOL,Real Betis Balompié,LaLiga,243.8,giovanilocelso_ARG
Giovanni Di Lorenzo,DF,Right_Back,31,Italy,UEFA,SSC Napoli,Serie_A,195.0,giovannidilorenzo_ITA
Giovanni Fabbian,MF,Attacking_Midfielder,22,Italy,UEFA,Bologna FC 1909,Serie_A,195.0,giovannifabbian_ITA
Giovanni Leoni,DF,Centre_Back,18,Italy,UEFA,Parma Calcio 1913,Serie_A,292.5,giovannileoni_ITA
Giovanni Reyna,MF,Attacking_Midfielder,22,United States,CONCACAF,Borussia Dortmund,Bundesliga,113.8,giovannireyna_UNI
Giovanni Simeone,FW,Striker,30,Argentina,CONMEBOL,SSC Napoli,Serie_A,81.2,giovannisimeone_ARG
Giulian Biancone,DF,Centre_Back,25,France,UEFA,Olympiacos Piraeus,SuperLeague1,40.6,giulianbiancone_FRA
Giuliano Simeone,FW,Right_Winger,22,Argentina,CONMEBOL,Atlético de Madrid,LaLiga,568.8,giulianosimeone_ARG
Gjivai Zechiel,MF,Defensive_Midfielder,21,Netherlands,UEFA,FC Utrecht,Eredivisie,65.0,gjivaizechiel_NET
Goncalo Guedes,FW,Left_Winger,28,Portugal,UEFA,Wolverhampton Wanderers,PremierLeague,178.8,goncaloguedes_POR
Goncalo Inacio,DF,Centre_Back,23,Portugal,UEFA,Sporting CP,Liga_Portugal,731.2,goncaloinacio_POR
Goncalo Ramos,FW,Striker,24,Portugal,UEFA,Paris Saint-Germain,Ligue1,650.0,goncaloramos_POR
Gonzalo Montiel,DF,Right_Back,28,Argentina,CONMEBOL,CA River Plate,Liga_Profesional,81.2,gonzalomontiel_ARG
Gora Diouf,DF,Centre_Back,21,Senegal,CAF,KV Mechelen,Jupiler_ProLeague,65.0,goradiouf_SEN
Granit Xhaka,MF,Defensive_Midfielder,32,Switzerland,UEFA,Bayer 04 Leverkusen,Bundesliga,195.0,granitxhaka_SWI
Gregor Kobel,GK,Goalkeeper,27,Switzerland,UEFA,Borussia Dortmund,Bundesliga,650.0,gregorkobel_SWI
Gregory Wuthrich,DF,Centre_Back,30,Switzerland,UEFA,BSC Young Boys,Swiss_SuperLeague,56.9,gregorywuthrich_SWI
Greg Taylor,DF,Left_Back,27,Scotland,UEFA,PAOK Thessaloniki,SuperLeague1,97.5,gregtaylor_SCO
Griffin Dorsey,DF,Right_Back,26,United States,CONCACAF,Houston Dynamo FC,MLS,16.2,griffindorsey_UNI
Guela Doue,DF,Right_Back,22,Cote d'Ivoire,CAF,RC Strasbourg Alsace,Ligue1,292.5,gueladoue_COT
Guglielmo Vicario,GK,Goalkeeper,28,Italy,UEFA,Tottenham Hotspur,PremierLeague,520.0,guglielmovicario_ITA
Guido Herrera,GK,Goalkeeper,33,Argentina,CONMEBOL,CA Talleres,Liga_Profesional,32.5,guidoherrera_ARG
Guido Rodriguez,MF,Defensive_Midfielder,31,Argentina,CONMEBOL,West Ham United,PremierLeague,162.5,guidorodriguez_ARG
Guido Villar,GK,Goalkeeper,27,Argentina,CONMEBOL,Independiente del Valle,Other_leagues,16.2,guidovillar_ARG
Guillaume Restes,GK,Goalkeeper,20,France,UEFA,FC Toulouse,Ligue1,325.0,guillaumerestes_FRA
Gunay Guvenc,GK,Goalkeeper,34,Turkey,UEFA,Galatasaray,SuperLig,8.1,gunayguvenc_TUR
Gustaf Nilsson,FW,Striker,28,Sweden,UEFA,Club Brugge KV,Jupiler_ProLeague,81.2,gustafnilsson_SWE
Gustav Isaksen,FW,Right_Winger,24,Denmark,UEFA,SS Lazio,Serie_A,325.0,gustavisaksen_DEN
Gustavo,FW,Striker,31,Brazil,CONMEBOL,Shanghai Port,Chinese_SuperLeague,16.2,gustavo_BRA
Gustavo Hamer,MF,Side_Midfielder,28,Netherlands,UEFA,Sheffield United,Championship,260.0,gustavohamer_NET
Gustavo Sa,MF,Attacking_Midfielder,20,Portugal,UEFA,FC Famalicão,Liga_Portugal,260.0,gustavosa_POR
Gustavo Velazquez,DF,Centre_Back,34,Paraguay,CONMEBOL,Club Cerro Porteño,Other_leagues,13.0,gustavovelazquez_PAR
Guus Til,MF,Attacking_Midfielder,27,Netherlands,UEFA,PSV Eindhoven,Eredivisie,195.0,guustil_NET
Gvidas Gineitis,MF,Central_Midfielder,21,Lithuania,UEFA,Torino FC,Serie_A,97.5,gvidasgineitis_LIT
Habib Diallo,FW,Striker,30,Senegal,CAF,Al-Shabab FC,Saudi_ProLeague,105.6,habibdiallo_SEN
Habib Diarra,MF,Central_Midfielder,21,Senegal,CAF,Sunderland AFC,PremierLeague,325.0,habibdiarra_SEN
Haji Wright,FW,Striker,27,United States,CONCACAF,Coventry City,Championship,130.0,hajiwright_UNI
Hakan Calhanoglu,MF,Defensive_Midfielder,31,Turkey,UEFA,Inter Milan,Serie_A,487.5,hakancalhanoglu_TUR
Hakon Arnar Haraldsson,MF,Attacking_Midfielder,22,Iceland,UEFA,LOSC Lille,Ligue1,292.5,hakonarnarharaldsson_ICE
Hamari Traore,DF,Right_Back,33,Mali,CAF,Real Sociedad,LaLiga,32.5,hamaritraore_MAL
Han Kook Young,MF,Defensive_Midfielder,35,"Korea, South",AFC,Jeonbuk Hyundai Motors,K_League1,8.1,hankookyoung_KOR
Hannibal,MF,Attacking_Midfielder,22,Tunisia,CAF,Burnley FC,PremierLeague,195.0,hannibal_TUN
Hans Nicolussi Caviglia,MF,Central_Midfielder,25,Italy,UEFA,Venezia FC,Serie_B,138.1,hansnicolussicaviglia_ITA
Hans Vanaken,MF,Attacking_Midfielder,32,Belgium,UEFA,Club Brugge KV,Jupiler_ProLeague,113.8,hansvanaken_BEL
Hany Mukhtar,MF,Attacking_Midfielder,30,Germany,UEFA,Nashville SC,MLS,97.5,hanymukhtar_GER
Harold Moukoudi,DF,Centre_Back,27,Cameroon,CAF,AEK Athens,SuperLeague1,65.0,haroldmoukoudi_CAM
Harrison Burrows,DF,Left_Back,23,England,UEFA,Sheffield United,Championship,195.0,harrisonburrows_ENG
Harry Amass,DF,Left_Back,18,England,UEFA,Manchester United,PremierLeague,81.2,harryamass_ENG
Harry Clarke,DF,Right_Back,24,England,UEFA,Ipswich Town,Championship,73.1,harryclarke_ENG
Harry Kane,FW,Striker,31,England,UEFA,Bayern Munich,Bundesliga,1218.8,harrykane_ENG
Harry Maguire,DF,Centre_Back,32,England,UEFA,Manchester United,PremierLeague,211.2,harrymaguire_ENG
Harry Souttar,DF,Centre_Back,26,Australia,AFC,Leicester City,Championship,97.5,harrysouttar_AUS
Harry Winks,MF,Defensive_Midfielder,29,England,UEFA,Leicester City,Championship,146.2,harrywinks_ENG
Haruya Fujii,DF,Centre_Back,24,Japan,AFC,KV Kortrijk,Other_leagues,32.5,haruyafujii_JAP
Harvey Barnes,FW,Left_Winger,27,England,UEFA,Newcastle United,PremierLeague,568.8,harveybarnes_ENG
Harvey Elliott,MF,Attacking_Midfielder,22,England,UEFA,Liverpool FC,PremierLeague,487.5,harveyelliott_ENG
Hassane Kamara,DF,Left_Back,31,Cote d'Ivoire,CAF,Udinese Calcio,Serie_A,56.9,hassanekamara_COT
Hassani Dotson,MF,Central_Midfielder,27,United States,CONCACAF,Minnesota United FC,MLS,56.9,hassanidotson_UNI
Hayden Hackney,MF,Defensive_Midfielder,23,England,UEFA,Middlesbrough FC,Championship,195.0,haydenhackney_ENG
Hector Fort,DF,Right_Back,18,Spain,UEFA,FC Barcelona,LaLiga,162.5,hectorfort_SPA
Hector Herrera,MF,Defensive_Midfielder,35,Mexico,CONCACAF,Deportivo Toluca,Liga_MX,16.2,hectorherrera_MEX
Hendrik Van Crombrugge,GK,Goalkeeper,32,Belgium,UEFA,KRC Genk,Jupiler_ProLeague,27.6,hendrikvancrombrugge_BEL
Henrikh Mkhitaryan,MF,Central_Midfielder,36,Armenia,UEFA,Inter Milan,Serie_A,65.0,henrikhmkhitaryan_ARM
Henry Kessler,DF,Centre_Back,27,United States,CONCACAF,St. Louis CITY SC,MLS,32.5,henrykessler_UNI
Hernesto Caballero,MF,Central_Midfielder,34,Paraguay,CONMEBOL,Club Libertad Asunción,Other_leagues,5.7,hernestocaballero_PAR
Herve Koffi,GK,Goalkeeper,28,Burkina Faso,CAF,Angers SCO,Ligue1,19.5,hervekoffi_BUR
Hicham Boudaoui,MF,Central_Midfielder,25,Algeria,CAF,OGC Nice,Ligue1,243.8,hichamboudaoui_ALG
Hidemasa Morita,MF,Central_Midfielder,30,Japan,AFC,Sporting CP,Liga_Portugal,211.2,hidemasamorita_JAP
Himad Abdelli,MF,Attacking_Midfielder,25,Algeria,CAF,Angers SCO,Ligue1,113.8,himadabdelli_ALG
Hiroki Ito,DF,Centre_Back,26,Japan,AFC,Bayern Munich,Bundesliga,406.2,hirokiito_JAP
Hiroki Sakai,DF,Right_Back,35,Japan,AFC,Auckland FC,A_League,8.1,hirokisakai_JAP
Hirving Lozano,FW,Left_Winger,29,Mexico,CONCACAF,San Diego FC,MLS,162.5,hirvinglozano_MEX
Hong Hyeon Seok,MF,Attacking_Midfielder,26,"Korea, South",AFC,1.FSV Mainz 05,Bundesliga,56.9,honghyeonseok_KOR
Hong Jeong Ho,DF,Centre_Back,35,"Korea, South",AFC,Jeonbuk Hyundai Motors,K_League1,7.3,hongjeongho_KOR
Horatiu Moldovan,GK,Goalkeeper,27,Romania,UEFA,Real Oviedo,LaLiga,35.8,horatiumoldovan_ROM
Houssem Aouar,MF,Attacking_Midfielder,27,Algeria,CAF,Al-Ittihad Club,Saudi_ProLeague,138.1,houssemaouar_ALG
Hugo Bueno,DF,Left_Back,22,Spain,UEFA,Wolverhampton Wanderers,PremierLeague,130.0,hugobueno_SPA
Hugo Cuypers,FW,Striker,28,Belgium,UEFA,Chicago Fire FC,MLS,146.2,hugocuypers_BEL
Hugo Duro,FW,Striker,25,Spain,UEFA,Valencia CF,LaLiga,227.5,hugoduro_SPA
Hugo Ekitike,FW,Striker,23,France,UEFA,Liverpool FC,PremierLeague,1218.8,hugoekitike_FRA
Hugo Larsson,MF,Central_Midfielder,21,Sweden,UEFA,Eintracht Frankfurt,Bundesliga,650.0,hugolarsson_SWE
Hugo Lloris,GK,Goalkeeper,38,France,UEFA,Los Angeles FC,MLS,16.2,hugolloris_FRA
Hugo Picard,MF,Side_Midfielder,22,France,UEFA,Columbus Crew,MLS,56.9,hugopicard_FRA
Hugo Sotelo,MF,Central_Midfielder,21,Spain,UEFA,Celta de Vigo,LaLiga,65.0,hugosotelo_SPA
Hugo Vetlesen,MF,Central_Midfielder,25,Norway,UEFA,Club Brugge KV,Jupiler_ProLeague,65.0,hugovetlesen_NOR
Hwang Hee Chan,FW,Striker,29,"Korea, South",AFC,Wolverhampton Wanderers,PremierLeague,195.0,hwangheechan_KOR
Hwang In Jae,GK,Goalkeeper,31,"Korea, South",AFC,Pohang Steelers,K_League1,8.9,hwanginjae_KOR
Hwang Jae Won,DF,Right_Back,22,"Korea, South",AFC,Daegu FC,K_League1,9.8,hwangjaewon_KOR
Hwang Ui Jo,FW,Striker,32,"Korea, South",AFC,Alanyaspor,SuperLig,11.4,hwanguijo_KOR
Iago Aspas,FW,Striker,37,Spain,UEFA,Celta de Vigo,LaLiga,32.5,iagoaspas_SPA
Iago Maidana,DF,Centre_Back,29,Brazil,CONMEBOL,Henan FC,Chinese_SuperLeague,19.5,iagomaidana_BRA
Ian Harkes,MF,Central_Midfielder,30,United States,CONCACAF,San Jose Earthquakes,MLS,16.2,ianharkes_UNI
Ian Maatsen,DF,Left_Back,23,Netherlands,UEFA,Aston Villa,PremierLeague,455.0,ianmaatsen_NET
Ian Murphy,DF,Centre_Back,25,United States,CONCACAF,Colorado Rapids,MLS,29.2,ianmurphy_UNI
Ibe Hautekiet,DF,Centre_Back,23,Belgium,UEFA,Standard Liège,Jupiler_ProLeague,56.9,ibehautekiet_BEL
Ibrahima Konate,DF,Centre_Back,26,France,UEFA,Liverpool FC,PremierLeague,975.0,ibrahimakonate_FRA
Ibrahim Amadou,MF,Defensive_Midfielder,32,France,UEFA,Shanghai Shenhua,Chinese_SuperLeague,11.4,ibrahimamadou_FRA
Ibrahima Sissoko,MF,Defensive_Midfielder,27,Mali,CAF,VfL Bochum,Bundesliga_2,97.5,ibrahimasissoko_MAL
Ibrahima Sory Bangoura,MF,Defensive_Midfielder,21,Guinea,CAF,KRC Genk,Jupiler_ProLeague,130.0,ibrahimasorybangoura_GUI
Ibrahim Olawoyin,MF,Central_Midfielder,27,Nigeria,CAF,Caykur Rizespor,SuperLig,35.8,ibrahimolawoyin_NIG
Ibrahim Sadiq,FW,Right_Winger,25,Ghana,CAF,AZ Alkmaar,Eredivisie,56.9,ibrahimsadiq_GHA
Ibrahim Said,FW,Right_Winger,23,Nigeria,CAF,Motherwell FC,Scottish_Premiership,13.0,ibrahimsaid_NIG
Ibrahim Salah,FW,Left_Winger,23,Morocco,CAF,Stade Rennais FC,Ligue1,48.8,ibrahimsalah_MOR
Ibrahim Sangare,MF,Defensive_Midfielder,27,Cote d'Ivoire,CAF,Nottingham Forest,PremierLeague,390.0,ibrahimsangare_COT
Ibrahim Sehic,GK,Goalkeeper,36,Bosnia-Herzegovina,UEFA,Corum FK,Other_leagues,9.8,ibrahimsehic_BOS
Ibrahim Sulemana,MF,Defensive_Midfielder,22,Ghana,CAF,Atalanta BC,Serie_A,113.8,ibrahimsulemana_GHA
Ignacio Vazquez,DF,Centre_Back,28,Argentina,CONMEBOL,Club Atlético Platense,Liga_Profesional,48.8,ignaciovazquez_ARG
Ignatius Ganago,FW,Striker,26,Cameroon,CAF,New England Revolution,MLS,32.5,ignatiusganago_CAM
Igoh Ogbu,DF,Centre_Back,25,Nigeria,CAF,SK Slavia Prague,Chance_Liga,178.8,igohogbu_NIG
Igor,DF,Centre_Back,27,Brazil,CONMEBOL,Brighton & Hove Albion,PremierLeague,325.0,igor_BRA
Igor Paixao,FW,Left_Winger,25,Brazil,CONMEBOL,Feyenoord Rotterdam,Eredivisie,568.8,igorpaixao_BRA
Igor Thiago,FW,Striker,24,Brazil,CONMEBOL,Brentford FC,PremierLeague,292.5,igorthiago_BRA
Ike Ugbo,FW,Striker,26,Canada,CONCACAF,Sheffield Wednesday,Championship,35.8,ikeugbo_CAN
Ilan Kebbal,MF,Attacking_Midfielder,27,Algeria,CAF,Paris FC,Ligue1,81.2,ilankebbal_ALG
Ilias Chair,MF,Attacking_Midfielder,27,Morocco,CAF,Queens Park Rangers,Championship,97.5,iliaschair_MOR
Ilie Sanchez,MF,Defensive_Midfielder,34,Spain,UEFA,Austin FC,MLS,6.5,iliesanchez_SPA
Iliman Ndiaye,FW,Left_Winger,25,Senegal,CAF,Everton FC,PremierLeague,357.5,ilimanndiaye_SEN
Ilkay Gundogan,MF,Central_Midfielder,34,Germany,UEFA,Manchester City,PremierLeague,81.2,ilkaygundogan_GER
Illan Meslier,GK,Goalkeeper,25,France,UEFA,Leeds United,PremierLeague,260.0,illanmeslier_FRA
Ilyas Ansah,FW,Striker,20,Germany,UEFA,1.FC Union Berlin,Bundesliga,65.0,ilyasansah_GER
