name,position,age,nation,club,value,league
Jose Marsa,Centre-Back,23,Spain,KV Mechelen,€3.00m,Jupiler ProLeague
Ludwig Augustinsson,Left-Back,31,Sweden,RSC Anderlecht,€3.00m,Jupiler ProLeague
Jovan Mijatovic,Centre-Forward,20,Serbia,Oud-Heverlee Leuven,€3.00m,Jupiler ProLeague
Gyrano Kerk,Right Winger,29,Suriname,Royal Antwerp FC,€3.00m,Jupiler ProLeague
Atsuki Ito,Central Midfield,26,Japan,KAA Gent,€3.00m,Jupiler ProLeague
Fedde Leysen,Centre-Back,22,Belgium,Union Saint-Gilloise,€3.00m,Jupiler ProLeague
Daan Heymans,Attacking Midfield,26,Belgium,KRC Genk,€3.00m,Jupiler ProLeague
Momodou Lamin Sonko,Left Winger,20,Sweden,KAA Gent,€3.00m,Jupiler ProLeague
Leo Kokubo,Goalkeeper,24,Japan,Sint-Truidense VV,€3.00m,Jupiler ProLeague
Anouar Ait El Hadj,Attacking Midfield,23,Belgium,Union Saint-Gilloise,€3.00m,Jupiler ProLeague
Zaid Romero,Centre-Back,25,Argentina,Club Brugge KV,€3.00m,Jupiler ProLeague
Parfait Guiagon,Left Winger,24,Cote d'Ivoire,Royal Charleroi SC,€3.00m,Jupiler ProLeague
Kamiel Van De Perre,Central Midfield,21,Belgium,Union Saint-Gilloise,€3.00m,Jupiler ProLeague
Joris Kayembe,Left-Back,30,DR Congo,KRC Genk,€3.00m,Jupiler ProLeague
Moussa N'Diaye,Left-Back,23,Senegal,RSC Anderlecht,€3.00m,Jupiler ProLeague
Giannis Konstantelias,Attacking Midfield,22,Greece,PAOK Thessaloniki,€17.00m,SuperLeague1 Greece
Fotis Ioannidis,Centre-Forward,25,Greece,Panathinaikos FC,€15.00m,SuperLeague1 Greece
Christos Mouzakitis,Central Midfield,18,Greece,Olympiacos Piraeus,€12.00m,SuperLeague1 Greece
Santiago Hezze,Defensive Midfield,23,Argentina,Olympiacos Piraeus,€12.00m,SuperLeague1 Greece
Tete,Right Winger,25,Brazil,Panathinaikos FC,€11.00m,SuperLeague1 Greece
Konstantinos Tzolakis,Goalkeeper,22,Greece,Olympiacos Piraeus,€10.00m,SuperLeague1 Greece
Georgios Vagiannidis,Right-Back,23,Greece,Panathinaikos FC,€8.00m,SuperLeague1 Greece
Facundo Pellistri,Right Winger,23,Uruguay,Panathinaikos FC,€8.00m,SuperLeague1 Greece
Kiril Despodov,Right Winger,28,Bulgaria,PAOK Thessaloniki,€8.00m,SuperLeague1 Greece
Andrija Zivkovic,Right Winger,29,Serbia,PAOK Thessaloniki,€8.00m,SuperLeague1 Greece
Anthony Martial,Centre-Forward,29,France,AEK Athens,€7.50m,SuperLeague1 Greece
Mady Camara,Central Midfield,28,Guinea,PAOK Thessaloniki,€7.50m,SuperLeague1 Greece
Fedor Chalov,Centre-Forward,27,Russia,PAOK Thessaloniki,€7.50m,SuperLeague1 Greece
Orbelin Pineda,Central Midfield,29,Mexico,AEK Athens,€7.00m,SuperLeague1 Greece
Monchu,Central Midfield,25,Spain,Aris Thessaloniki,€6.00m,SuperLeague1 Greece
Greg Taylor,Left-Back,27,Scotland,PAOK Thessaloniki,€6.00m,SuperLeague1 Greece
Francisco Ortega,Left-Back,26,Argentina,Olympiacos Piraeus,€6.00m,SuperLeague1 Greece
Kristoffer Velde,Left Winger,25,Norway,Olympiacos Piraeus,€6.00m,SuperLeague1 Greece
Lorenzo Pirola,Centre-Back,23,Italy,Olympiacos Piraeus,€6.00m,SuperLeague1 Greece
Pedro Chirivella,Defensive Midfield,28,Spain,Panathinaikos FC,€5.00m,SuperLeague1 Greece
Adam Gnezda Cerin,Central Midfield,26,Slovenia,Panathinaikos FC,€5.00m,SuperLeague1 Greece
Dereck Kutesa,Left Winger,27,Switzerland,AEK Athens,€5.00m,SuperLeague1 Greece
Costinha,Right-Back,25,Portugal,Olympiacos Piraeus,€5.00m,SuperLeague1 Greece
Ayoub El Kaabi,Centre-Forward,32,Morocco,Olympiacos Piraeus,€5.00m,SuperLeague1 Greece
Yusuf Yazici,Attacking Midfield,28,Türkiye,Olympiacos Piraeus,€5.00m,SuperLeague1 Greece
Chiquinho,Attacking Midfield,30,Portugal,Olympiacos Piraeus,€5.00m,SuperLeague1 Greece
Panagiotis Retsos,Centre-Back,26,Greece,Olympiacos Piraeus,€5.00m,SuperLeague1 Greece
Nemanja Maksimovic,Central Midfield,30,Serbia,Panathinaikos FC,€4.50m,SuperLeague1 Greece
Karol Swiderski,Centre-Forward,28,Poland,Panathinaikos FC,€4.50m,SuperLeague1 Greece
Aboubakary Koita,Left Winger,26,Mauritania,AEK Athens,€4.50m,SuperLeague1 Greece
Anastasios Bakasetas,Attacking Midfield,32,Greece,Panathinaikos FC,€4.00m,SuperLeague1 Greece
Robert Ljubicic,Central Midfield,26,Croatia,AEK Athens,€4.00m,SuperLeague1 Greece
Harold Moukoudi,Centre-Back,27,Cameroon,AEK Athens,€4.00m,SuperLeague1 Greece
Niclas Eliasson,Right Midfield,29,Sweden,AEK Athens,€4.00m,SuperLeague1 Greece
Razvan Marin,Defensive Midfield,29,Romania,AEK Athens,€3.50m,SuperLeague1 Greece
Damian Szymanski,Defensive Midfield,30,Poland,AEK Athens,€3.50m,SuperLeague1 Greece
Fredrik Jensen,Attacking Midfield,27,Finland,Aris Thessaloniki,€3.50m,SuperLeague1 Greece
Uros Racic,Defensive Midfield,27,Serbia,Aris Thessaloniki,€3.50m,SuperLeague1 Greece
Luka Ivanusec,Left Winger,26,Croatia,PAOK Thessaloniki,€3.50m,SuperLeague1 Greece
Lorenzo Scipioni,Central Midfield,20,Argentina,Olympiacos Piraeus,€3.50m,SuperLeague1 Greece
Frantzdy Pierrot,Centre-Forward,30,Haiti,AEK Athens,€3.20m,SuperLeague1 Greece
Bartlomiej Dragowski,Goalkeeper,27,Poland,Panathinaikos FC,€3.00m,SuperLeague1 Greece
Alban Lafont,Goalkeeper,26,France,Panathinaikos FC,€3.00m,SuperLeague1 Greece
Filipe Relvas,Centre-Back,25,Portugal,AEK Athens,€3.00m,SuperLeague1 Greece
Lazaros Rota,Right-Back,27,Greece,AEK Athens,€3.00m,SuperLeague1 Greece
Loren Moron,Centre-Forward,31,Spain,Aris Thessaloniki,€3.00m,SuperLeague1 Greece
Noah Fadiga,Right-Back,25,Senegal,Aris Thessaloniki,€3.00m,SuperLeague1 Greece
Taxiarchis Fountas,Second Striker,29,Greece,OFI Crete FC,€3.00m,SuperLeague1 Greece
Gelson Martins,Right Winger,30,Portugal,Olympiacos Piraeus,€3.00m,SuperLeague1 Greece
Roman Yaremchuk,Centre-Forward,29,Ukraine,Olympiacos Piraeus,€3.00m,SuperLeague1 Greece
Tin Jedvaj,Centre-Back,29,Croatia,Panathinaikos FC,€2.70m,SuperLeague1 Greece
Bruno Onyemaechi,Left-Back,26,Nigeria,Olympiacos Piraeus,€2.70m,SuperLeague1 Greece
Sverrir Ingi Ingason,Centre-Back,31,Iceland,Panathinaikos FC,€2.50m,SuperLeague1 Greece
Georgios Kyriakopoulos,Left-Back,29,Greece,Panathinaikos FC,€2.50m,SuperLeague1 Greece
Ahmed Touba,Centre-Back,27,Algeria,Panathinaikos FC,€2.50m,SuperLeague1 Greece
Daniel Mancini,Right Winger,28,Argentina,Panathinaikos FC,€2.50m,SuperLeague1 Greece
Thomas Strakosha,Goalkeeper,30,Albania,AEK Athens,€2.50m,SuperLeague1 Greece
Shola Shoretire,Left Winger,21,England,PAOK Thessaloniki,€2.50m,SuperLeague1 Greece
Tino Kadewere,Centre-Forward,29,Zimbabwe,Aris Thessaloniki,€2.50m,SuperLeague1 Greece
Jonjoe Kenny,Right-Back,28,England,PAOK Thessaloniki,€2.50m,SuperLeague1 Greece
Tomasz Kedziora,Centre-Back,31,Poland,PAOK Thessaloniki,€2.50m,SuperLeague1 Greece
Diogo Nascimento,Central Midfield,22,Portugal,Olympiacos Piraeus,€2.50m,SuperLeague1 Greece
Giulian Biancone,Centre-Back,25,France,Olympiacos Piraeus,€2.50m,SuperLeague1 Greece
Remy Cabella,Attacking Midfield,35,France,Olympiacos Piraeus,€2.50m,SuperLeague1 Greece
Olimpiu Morutan,Attacking Midfield,26,Romania,Aris Thessaloniki,€2.40m,SuperLeague1 Greece
Mijat Gacinovic,Attacking Midfield,30,Serbia,AEK Athens,€2.00m,SuperLeague1 Greece
Carles Perez,Right Winger,27,Spain,Aris Thessaloniki,€2.00m,SuperLeague1 Greece
Pedro Alvaro,Centre-Back,25,Portugal,Aris Thessaloniki,€2.00m,SuperLeague1 Greece
Abdul Rahman Baba,Left-Back,31,Ghana,PAOK Thessaloniki,€2.00m,SuperLeague1 Greece
Soualiho Meite,Defensive Midfield,31,France,PAOK Thessaloniki,€2.00m,SuperLeague1 Greece
Georgios Masouras,Left Winger,31,Greece,Olympiacos Piraeus,€2.00m,SuperLeague1 Greece
Manolis Siopis,Defensive Midfield,31,Greece,Panathinaikos FC,€1.80m,SuperLeague1 Greece
James Penrice,Left-Back,26,Scotland,AEK Athens,€1.80m,SuperLeague1 Greece
Jens Jonsson,Defensive Midfield,32,Denmark,AEK Athens,€1.80m,SuperLeague1 Greece
Alvaro Tejero,Right-Back,29,Spain,Aris Thessaloniki,€1.80m,SuperLeague1 Greece
Giannis Michailidis,Centre-Back,25,Greece,PAOK Thessaloniki,€1.80m,SuperLeague1 Greece
Dimitrios Pelkas,Attacking Midfield,31,Greece,PAOK Thessaloniki,€1.80m,SuperLeague1 Greece
Thomas Murg,Attacking Midfield,30,Austria,PAOK Thessaloniki,€1.50m,SuperLeague1 Greece
Magomed Ozdoev,Defensive Midfield,32,Russia,PAOK Thessaloniki,€1.50m,SuperLeague1 Greece
Alexios Kalogeropoulos,Centre-Back,20,Greece,Olympiacos Piraeus,€1.50m,SuperLeague1 Greece
Issiaga Sylla,Left-Back,31,Guinea,Asteras Aktor,€1.50m,SuperLeague1 Greece
Ruben Vezo,Centre-Back,31,Portugal,Olympiacos Piraeus,€1.40m,SuperLeague1 Greece
Filip Djuricic,Attacking Midfield,33,Serbia,Panathinaikos FC,€1.30m,SuperLeague1 Greece
Tonny Vilhena,Central Midfield,30,Netherlands,Panathinaikos FC,€1.30m,SuperLeague1 Greece
Gerson Sousa,Right Winger,23,Portugal,AE Kifisias,€1.30m,SuperLeague1 Greece
Joan Sastre,Right-Back,28,Spain,PAOK Thessaloniki,€1.30m,SuperLeague1 Greece
Nicholas Gioacchini,Centre-Forward,24,United States,Asteras Aktor,€1.30m,SuperLeague1 Greece
Stavros Pilios,Left-Back,24,Greece,AEK Athens,€1.20m,SuperLeague1 Greece
Petros Mantalos,Attacking Midfield,33,Greece,AEK Athens,€1.20m,SuperLeague1 Greece
Erik Lamela,Right Winger,33,Argentina,AEK Athens,€1.20m,SuperLeague1 Greece
Lucas Chaves,Goalkeeper,29,Argentina,Panetolikos GFS,€1.20m,SuperLeague1 Greece
Philipp Max,Left-Back,31,Germany,Panathinaikos FC,€1.00m,SuperLeague1 Greece
Andrei Ivan,Left Winger,28,Romania,Panserraikos,€1.00m,SuperLeague1 Greece
Theocharis Tsingaras,Central Midfield,24,Greece,Atromitos Athens,€1.00m,SuperLeague1 Greece
Zini,Centre-Forward,23,Angola,AEK Athens,€1.00m,SuperLeague1 Greece
Gerasimos Mitoglou,Centre-Back,25,Greece,AEK Athens,€1.00m,SuperLeague1 Greece
Roberto Pereyra,Central Midfield,34,Argentina,AEK Athens,€1.00m,SuperLeague1 Greece
Alexander Jeremejeff,Centre-Forward,31,Sweden,Panathinaikos FC,€1.00m,SuperLeague1 Greece
Eddie Salcedo,Centre-Forward,23,Italy,OFI Crete FC,€1.00m,SuperLeague1 Greece
Robin Quaison,Centre-Forward,31,Sweden,Aris Thessaloniki,€1.00m,SuperLeague1 Greece
Joe Lolley,Right Winger,32,England,Sydney FC,€1.20m,A-League Men
Craig Goodwin,Left Winger,33,Australia,Adelaide United,€1.00m,A-League Men
Guillermo May,Second Striker,27,Uruguay,Auckland FC,€750k,A-League Men
Brandon Borrello,Centre-Forward,29,Australia,Western Sydney Wanderers,€750k,A-League Men
Kai Trewin,Centre-Back,24,Australia,Melbourne City FC,€750k,A-League Men
Bozhidar Kraev,Left Winger,28,Bulgaria,Western Sydney Wanderers,€700k,A-League Men
Nathaniel Atkinson,Right-Back,26,Australia,Melbourne City FC,€700k,A-League Men
Zinedine Machach,Attacking Midfield,29,France,Melbourne Victory,€700k,A-League Men
Stefan Mauk,Attacking Midfield,29,Australia,Adelaide United,€650k,A-League Men
Angus Thurgate,Central Midfield,25,Australia,Western United FC,€650k,A-League Men
Douglas Costa,Right Winger,34,Brazil,Sydney FC,€650k,A-League Men
Louis Verstraete,Defensive Midfield,26,Belgium,Auckland FC,€600k,A-League Men
Jake Brimmer,Central Midfield,27,Australia,Auckland FC,€600k,A-League Men
Francis de Vries,Left-Back,30,New Zealand,Auckland FC,€600k,A-League Men
Adam Taggart,Centre-Forward,32,Australia,Perth Glory,€600k,A-League Men
Alex Rufer,Defensive Midfield,29,New Zealand,Wellington Phoenix,€600k,A-League Men
Leo Sena,Defensive Midfield,29,Brazil,Sydney FC,€600k,A-League Men
Roderick Miranda,Centre-Back,34,Portugal,Melbourne Victory,€600k,A-League Men
Archie Goodwin,Centre-Forward,20,Australia,Adelaide United,€550k,A-League Men
Anthony Caceres,Attacking Midfield,32,Australia,Macarthur FC,€550k,A-League Men
Nikolaos Vergos,Centre-Forward,29,Greece,Melbourne Victory,€550k,A-League Men
Hiroki Sakai,Right-Back,35,Japan,Auckland FC,€500k,A-League Men
Steven Ugarkovic,Defensive Midfield,30,Australia,Western Sydney Wanderers,€500k,A-League Men
Patrick Beach,Goalkeeper,21,Australia,Melbourne City FC,€500k,A-League Men
Yonatan Cohen,Left Winger,29,Israel,Melbourne City FC,€500k,A-League Men
Kosta Grozos,Central Midfield,24,Australia,Newcastle United Jets,€500k,A-League Men
Andreas Kuen,Central Midfield,30,Austria,Melbourne City FC,€500k,A-League Men
Milorad Stajic,Defensive Midfield,23,Bosnia-Herzegovina,Brisbane Roar,€500k,A-League Men
Jordi Valadon,Defensive Midfield,22,Australia,Melbourne Victory,€500k,A-League Men
Nishan Velupillay,Left Winger,24,Australia,Melbourne Victory,€500k,A-League Men
Reno Piscopo,Left Winger,27,Australia,Melbourne Victory,€500k,A-League Men
Lachlan Jackson,Centre-Back,30,Australia,Melbourne Victory,€500k,A-League Men
Dylan Pierias,Right-Back,25,Australia,Adelaide United,€450k,A-League Men
Nando Pijnaker,Centre-Back,26,New Zealand,Auckland FC,€450k,A-League Men
Logan Rogerson,Right Winger,27,New Zealand,Auckland FC,€450k,A-League Men
Ethan Alagich,Central Midfield,21,Australia,Adelaide United,€450k,A-League Men
Panagiotis Kikianis,Centre-Back,20,Australia,Adelaide United,€450k,A-League Men
Brian Kaltak,Centre-Back,31,Vanuatu,Perth Glory,€450k,A-League Men
Alex Bonetig,Centre-Back,22,Australia,Western Sydney Wanderers,€450k,A-League Men
Lachlan Wales,Right Winger,27,Australia,Perth Glory,€450k,A-League Men
Gabriel Cleur,Right-Back,27,Australia,Western Sydney Wanderers,€450k,A-League Men
Tim Payne,Right-Back,31,New Zealand,Wellington Phoenix,€450k,A-League Men
Jordan Courtney-Perkins,Left-Back,22,Australia,Sydney FC,€450k,A-League Men
Alex Grant,Centre-Back,31,Australia,Sydney FC,€450k,A-League Men
Dylan Peraic-Cullen,Goalkeeper,18,Australia,Central Coast Mariners,€450k,A-League Men
Ryan Kitto,Left-Back,30,Australia,Adelaide United,€400k,A-League Men
Daniel Hall,Centre-Back,26,Australia,Auckland FC,€400k,A-League Men
Dylan Leonard,Centre-Back,17,Australia,Western United FC,€400k,A-League Men
Jaiden Kucharski,Centre-Forward,23,Australia,Western United FC,€400k,A-League Men
Ben Garuccio,Left-Back,30,Australia,Western United FC,€400k,A-League Men
Callum Timmins,Central Midfield,25,Australia,Perth Glory,€400k,A-League Men
Joshua Brillante,Defensive Midfield,32,Australia,Western Sydney Wanderers,€400k,A-League Men
Juan Mata,Attacking Midfield,37,Spain,Western Sydney Wanderers,€400k,A-League Men
Max Caputo,Centre-Forward,19,Australia,Melbourne City FC,€400k,A-League Men
Thomas Aquilina,Right-Back,24,Australia,Newcastle United Jets,€400k,A-League Men
Andrew Nabbout,Right Winger,32,Australia,Melbourne City FC,€400k,A-League Men
Mathew Leckie,Left Winger,34,Australia,Melbourne City FC,€400k,A-League Men
Eli Adams,Right Winger,23,Australia,Newcastle United Jets,€400k,A-League Men
Clayton Taylor,Left Winger,21,Australia,Newcastle United Jets,€400k,A-League Men
Trent Sainsbury,Centre-Back,33,Australia,Central Coast Mariners,€400k,A-League Men
Corey Hollman,Defensive Midfield,21,Australia,Sydney FC,€400k,A-League Men
Joel King,Left-Back,24,Australia,Sydney FC,€400k,A-League Men
Lucas Mauragis,Left-Back,23,Australia,Central Coast Mariners,€400k,A-League Men
Rhyan Grant,Right-Back,34,Australia,Sydney FC,€400k,A-League Men
Lucas Herrington,Centre-Back,17,Australia,Brisbane Roar,€400k,A-League Men
Henry Hore,Right Winger,25,Australia,Brisbane Roar,€400k,A-League Men
Santos,Left Winger,23,Brazil,Melbourne Victory,€400k,A-League Men
Luke Brattan,Defensive Midfield,35,Australia,Macarthur FC,€375k,A-League Men
Filip Kurto,Goalkeeper,34,Poland,Macarthur FC,€375k,A-League Men
Anthony Pantazopoulos,Centre-Back,22,Australia,Western Sydney Wanderers,€375k,A-League Men
Oscar Priestman,Central Midfield,22,Australia,Western Sydney Wanderers,€375k,A-League Men
Lawrence Thomas,Goalkeeper,33,Australia,Western Sydney Wanderers,€375k,A-League Men
Nathan Paull,Centre-Back,21,Australia,Central Coast Mariners,€375k,A-League Men
Alexandar Popovic,Centre-Back,22,Australia,Sydney FC,€350k,A-League Men
Liam Gillion,Left Winger,22,New Zealand,Auckland FC,€350k,A-League Men
Jesse Randall,Right Winger,22,New Zealand,Auckland FC,€350k,A-League Men
Cameron Howieson,Central Midfield,30,New Zealand,Auckland FC,€350k,A-League Men
Callum Talbot,Right-Back,24,Australia,Macarthur FC,€350k,A-League Men
Matthew Grimaldi,Left Winger,21,Australia,Western United FC,€350k,A-League Men
Rhys Bozinovski,Defensive Midfield,21,Australia,Western United FC,€350k,A-League Men
Tate Russell,Right-Back,25,Australia,Western United FC,€350k,A-League Men
Matt Sutton,Goalkeeper,25,Australia,Western United FC,€350k,A-League Men
Alou Kuol,Centre-Forward,24,Australia,Western Sydney Wanderers,€350k,A-League Men
Phillip Cancar,Centre-Back,24,Croatia,Western Sydney Wanderers,€350k,A-League Men
Alex Gersbach,Left-Back,28,Australia,Western Sydney Wanderers,€350k,A-League Men
Kosta Barbarouses,Centre-Forward,35,New Zealand,Western Sydney Wanderers,€350k,A-League Men
Alessandro Lopane,Attacking Midfield,21,Australia,Melbourne City FC,€350k,A-League Men
German Ferreyra,Centre-Back,29,Argentina,Melbourne City FC,€350k,A-League Men
Isaac Hughes,Centre-Back,21,New Zealand,Wellington Phoenix,€350k,A-League Men
Corban Piper,Centre-Back,22,New Zealand,Wellington Phoenix,€350k,A-League Men
Matthew Sheridan,Central Midfield,21,New Zealand,Wellington Phoenix,€350k,A-League Men
Hideki Ishige,Second Striker,30,Japan,Wellington Phoenix,€350k,A-League Men
Sam Klein,Central Midfield,21,Australia,Brisbane Roar,€350k,A-League Men
Ben Warland,Centre-Back,28,Australia,Brisbane Roar,€350k,A-League Men
Joshua Rawlins,Right-Back,21,Australia,Melbourne Victory,€350k,A-League Men
Keegan Jelacic,Attacking Midfield,22,Australia,Melbourne Victory,€350k,A-League Men
Oliver Sail,Goalkeeper,29,New Zealand,Perth Glory,€350k,A-League Men
Harrison Steele,Defensive Midfield,22,Australia,Central Coast Mariners,€350k,A-League Men
Daniel Wilmering,Left-Back,24,Australia,Newcastle United Jets,€350k,A-League Men
Mark Natta,Centre-Back,22,Australia,Newcastle United Jets,€350k,A-League Men
Hayao Kawabe,Central Midfield,29,Japan,Sanfrecce Hiroshima,€3.50m,J1 League
Rafael Ratao,Left Winger,29,Brazil,Cerezo Osaka,€2.70m,J1 League
Rafael Elias,Centre-Forward,26,Brazil,Kyoto Sanga,€2.50m,J1 League
Samuel Gustafson,Defensive Midfield,30,Sweden,Urawa Red Diamonds,€2.30m,J1 League
Leo Ceara,Centre-Forward,30,Brazil,Kashima Antlers,€2.20m,J1 League
Yuma Suzuki,Centre-Forward,29,Japan,Kashima Antlers,€2.20m,J1 League
Dean David,Centre-Forward,29,Israel,Yokohama F. Marinos,€2.20m,J1 League
Deniz Hummet,Centre-Forward,28,Türkiye,Gamba Osaka,€2.20m,J1 League
Erison,Centre-Forward,26,Brazil,Kawasaki Frontale,€2.00m,J1 League
Welton,Left Winger,27,Brazil,Gamba Osaka,€2.00m,J1 League
Mateus,Right Winger,30,Brazil,Nagoya Grampus,€1.80m,J1 League
Thuler,Centre-Back,26,Brazil,Vissel Kobe,€1.80m,J1 League
Hayato Araki,Centre-Back,28,Japan,Sanfrecce Hiroshima,€1.70m,J1 League
Keisuke Osako,Goalkeeper,25,Japan,Sanfrecce Hiroshima,€1.70m,J1 League
Ibrahim Dresevic,Centre-Back,28,Kosovo,Machida Zelvia,€1.70m,J1 League
Yan Matheus,Right Winger,26,Brazil,Yokohama F. Marinos,€1.60m,J1 League
Caetano,Centre-Back,26,Brazil,Vissel Kobe,€1.60m,J1 League
Danilo Boza,Centre-Back,27,Brazil,Urawa Red Diamonds,€1.60m,J1 League
Ryoya Ogawa,Left-Back,28,Japan,Kashima Antlers,€1.50m,J1 League
Aleksandar Cavric,Centre-Forward,31,Slovakia,Kashima Antlers,€1.50m,J1 League
Yuki Soma,Right Winger,28,Japan,Machida Zelvia,€1.50m,J1 League
Shinnosuke Nakatani,Centre-Back,29,Japan,Gamba Osaka,€1.50m,J1 League
Mao Hosoya,Centre-Forward,23,Japan,Kashiwa Reysol,€1.50m,J1 League
Matheus Savio,Attacking Midfield,28,Brazil,Urawa Red Diamonds,€1.50m,J1 League
Vitor Bueno,Attacking Midfield,30,Brazil,Cerezo Osaka,€1.50m,J1 League
Alexander Scholz,Centre-Back,32,Denmark,FC Tokyo,€1.50m,J1 League
Takuro Kaneko,Right Winger,27,Japan,Urawa Red Diamonds,€1.50m,J1 League
Yasuto Wakizaka,Central Midfield,30,Japan,Kawasaki Frontale,€1.40m,J1 League
Jeison Quinones,Centre-Back,27,Colombia,Yokohama F. Marinos,€1.40m,J1 League
Shunta Tanaka,Defensive Midfield,28,Japan,Cerezo Osaka,€1.40m,J1 League
Everton Galdino,Right Winger,28,Brazil,FC Tokyo,€1.40m,J1 League
Satoshi Tanaka,Defensive Midfield,22,Japan,Sanfrecce Hiroshima,€1.30m,J1 League
Ikuma Sekigawa,Centre-Back,24,Japan,Kashima Antlers,€1.30m,J1 League
Tetsushi Yamakawa,Centre-Back,27,Japan,Vissel Kobe,€1.30m,J1 League
Taisei Miyashiro,Centre-Forward,25,Japan,Vissel Kobe,€1.30m,J1 League
Marius Hoibraten,Centre-Back,30,Norway,Urawa Red Diamonds,€1.30m,J1 League
Ryoma Watanabe,Attacking Midfield,28,Japan,Urawa Red Diamonds,€1.30m,J1 League
Taiyo Koga,Centre-Back,26,Japan,Kashiwa Reysol,€1.30m,J1 League
Shuto Nakano,Right-Back,25,Japan,Sanfrecce Hiroshima,€1.20m,J1 League
Shunki Higashi,Left Midfield,24,Japan,Sanfrecce Hiroshima,€1.20m,J1 League
Tomoya Miki,Attacking Midfield,27,Japan,Avispa Fukuoka,€1.20m,J1 League
Taichi Hara,Centre-Forward,26,Japan,Kyoto Sanga,€1.20m,J1 League
Riku Handa,Right-Back,23,Japan,Gamba Osaka,€1.20m,J1 League
Erik,Right Winger,31,Brazil,Vissel Kobe,€1.20m,J1 League
Lucas Fernandes,Right Midfield,31,Brazil,Cerezo Osaka,€1.20m,J1 League
Yuta Nakayama,Centre-Back,28,Japan,Machida Zelvia,€1.20m,J1 League
Masaya Okugawa,Left Winger,29,Japan,Kyoto Sanga,€1.00m,J1 League
Tomoki Hayakawa,Goalkeeper,26,Japan,Kashima Antlers,€1.00m,J1 League
Koki Anzai,Left-Back,30,Japan,Kashima Antlers,€1.00m,J1 League
Naomichi Ueda,Centre-Back,30,Japan,Kashima Antlers,€1.00m,J1 League
Lele,Centre-Forward,27,Brazil,Nagoya Grampus,€1.00m,J1 League
Hayato Tanaka,Centre-Back,21,Japan,Kashiwa Reysol,€1.00m,J1 League
Makoto Mitsuta,Attacking Midfield,26,Japan,Gamba Osaka,€1.00m,J1 League
Daiya Maekawa,Goalkeeper,30,Japan,Vissel Kobe,€1.00m,J1 League
Daiju Sasaki,Attacking Midfield,25,Japan,Vissel Kobe,€1.00m,J1 League
Kosei Tani,Goalkeeper,24,Japan,Machida Zelvia,€1.00m,J1 League
Thiago,Centre-Forward,32,Brazil,Urawa Red Diamonds,€1.00m,J1 League
Dion Cools,Right-Back,29,Malaysia,Cerezo Osaka,€1.00m,J1 League
Shinnosuke Hatanaka,Centre-Back,29,Japan,Cerezo Osaka,€1.00m,J1 League
Takahiro Ko,Defensive Midfield,27,Japan,FC Tokyo,€1.00m,J1 League
Takuma Nishimura,Second Striker,28,Japan,Machida Zelvia,€1.00m,J1 League
Ryosuke Kojima,Goalkeeper,28,Japan,Kashiwa Reysol,€1.00m,J1 League
Motoki Hasegawa,Attacking Midfield,26,Japan,Albirex Niigata,€900k,J1 League
Kosuke Saito,Attacking Midfield,28,Japan,Tokyo Verdy,€900k,J1 League
Koki Morita,Defensive Midfield,24,Japan,Tokyo Verdy,€900k,J1 League
Ryotaro Araki,Attacking Midfield,23,Japan,Kashima Antlers,€900k,J1 League
Patrick William,Centre-Back,28,Brazil,Kyoto Sanga,€900k,J1 League
Marcinho,Left Winger,30,Brazil,Kawasaki Frontale,€900k,J1 League
Kei Chinen,Defensive Midfield,30,Japan,Kashima Antlers,€900k,J1 League
Kento Tachibanada,Defensive Midfield,27,Japan,Kawasaki Frontale,€900k,J1 League
Tsukasa Morishima,Attacking Midfield,28,Japan,Nagoya Grampus,€900k,J1 League
Kasper Junker,Centre-Forward,31,Denmark,Nagoya Grampus,€900k,J1 League
Kota Watanabe,Central Midfield,26,Japan,Yokohama F. Marinos,€900k,J1 League
Yoshinori Muto,Centre-Forward,33,Japan,Vissel Kobe,€900k,J1 League
Keisuke Kurokawa,Left-Back,28,Japan,Gamba Osaka,€900k,J1 League
Yosuke Ideguchi,Central Midfield,28,Japan,Vissel Kobe,€900k,J1 League
Koya Kitagawa,Centre-Forward,28,Japan,Shimizu S-Pulse,€900k,J1 League
Yoshio Koizumi,Attacking Midfield,28,Japan,Kashiwa Reysol,€900k,J1 League
Thiago Andrade,Left Winger,24,Brazil,Cerezo Osaka,€900k,J1 League
Hiroyuki Mae,Defensive Midfield,29,Japan,Machida Zelvia,€900k,J1 League
Ryuya Nishio,Centre-Back,24,Japan,Cerezo Osaka,€850k,J1 League
Yuta Higuchi,Central Midfield,28,Japan,Kashima Antlers,€850k,J1 League
Daiki Matsuoka,Central Midfield,24,Japan,Avispa Fukuoka,€850k,J1 League
So Kawahara,Defensive Midfield,27,Japan,Kawasaki Frontale,€850k,J1 League
Sota Miura,Left-Back,24,Japan,Kawasaki Frontale,€850k,J1 League
Katsuya Nagato,Left-Back,30,Japan,Vissel Kobe,€850k,J1 League
Motohiko Nakajima,Second Striker,26,Japan,Cerezo Osaka,€850k,J1 League
Takuya Ogiwara,Left-Back,25,Japan,Urawa Red Diamonds,€850k,J1 League
Hirokazu Ishihara,Right-Back,26,Japan,Urawa Red Diamonds,€850k,J1 League
Ryoya Yamashita,Right Winger,27,Japan,Gamba Osaka,€850k,J1 League
